AtNum,Group,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,PartOmegaOxygen,RMin,RMax,RAverage
25,E7(Mn),2,1,6,6.37,1.361904,10.58104,27.6239,0.08358958,12.91117,0,0.898661,2.16078,2.21981,2.18433
67,E3(Ln),3,2,8,7.17,1.372814,10.83736,27.82443,0.081942,22.57113,0.014531,1,2.23604,2.38649,2.33755
25,E7(Mn),2,1,6,6.26,1.365288,10.66009,27.82697,0.08371992,13.00514,0,0.90448,2.15134,2.23977,2.1882
68,E3(Ln),3,2,8,7.22,1.374556,10.87868,27.89779,0.08198225,22.64449,0.01156,1,2.24197,2.37809,2.34023
63,E3(Ln),3,4,9,7.72,1.409724,11.73522,28.71863,0.08013027,29.02563,0.024098,1,2.37108,2.60495,2.4588
63,E3(Ln),3,4,8,6.57,1.403893,11.59018,28.99767,0.08166767,23.50411,0.039522,0.982349,2.29581,2.63866,2.39759
62,E3(Ln),3,4,8,6.56,1.411648,11.78332,29.30348,0.08158453,23.97459,0.041678,0.981127,2.31057,2.65593,2.41175
62,E3(Ln),3,4,9,7.66,1.418065,11.94476,29.06495,0.08013048,29.53646,0.026325,1,2.38208,2.63053,2.47326
63,E3(Ln),3,4,9,7.62,1.41049,11.75436,28.7543,0.08015716,29.03389,0.022434,0.999939,2.36281,2.60909,2.46002
64,E3(Ln),3,4,8,6.56,1.40268,11.56017,28.94897,0.08164928,23.36373,0.043559,0.982655,2.29415,2.62498,2.39458
25,E7(Mn),2,1,6,6.32,1.362452,10.59382,27.70814,0.0835694,13.0468,0,0.906339,2.15747,2.23988,2.18648
64,E3(Ln),3,2,8,7.14,1.393424,11.33282,28.66559,0.08186431,23.63214,0.014299,1,2.26841,2.41271,2.37283
25,E7(Mn),2,1,6,6.3,1.36482,10.64914,27.77859,0.08350166,13.14101,0,0.903783,2.16063,2.24156,2.19153
65,E3(Ln),3,2,8,7.13,1.387843,11.1972,28.43834,0.08191455,23.34445,0.014858,1,2.25317,2.40631,2.36337
25,E7(Mn),2,1,6,6.33,1.36187,10.58025,27.63759,0.08354056,12.99655,0,0.902119,2.15823,2.24082,2.18578
