RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
ROTWOP;3;E1;1;2;3;5,19;1,318506;9,6014;25,64796;0,0859454;0;0,130184;0,531768
ROTWUV;11;E1;1;12;5;4,21;1,584447;16,66178;40,41408;0,09176702;10,17122;0,12482;0,914508
ROTWUV;11;E1;1;6;5;4,19;1,59662;17,04878;40,67804;0,09335985;10,06369;0,138335;0,915535
ROTXEG;20;E2;2;8;6;6,25;1,455294;12,91044;30,71084;0,08182549;13,84228;0,022868;0,804096
ROVLIA;29;E11;2;4;6;6,23;1,289424;8,97999;25,39357;0,08452458;11,9554;0;0,897443
ROVLIA;29;E11;2;8;5;5,28;1,345503;10,20335;27,62973;0,09009207;6,05698;0,134685;0,890919
SAFZEF01;44;E8;3;4;6;6,18;1,255228;8,28431;24,05949;0,08296925;11,05537;0,023519;0,957301
SAFZEF01;44;E8;3;4;6;6,13;1,252355;8,22755;24,00625;0,08310283;10,93217;0,030213;0,960487
SATNOR04;27;E9;2;18;5;4,47;1,651502;18,868;48,03269;0,21652087;5,84191;1,270789;0,939898
SATNOR05;27;E9;2;18;5;4,43;1,649507;18,79972;48,10138;0,22941385;5,67123;1,360582;0,95219
SIRNOZ;22;E4;4;6;4;4,25;1,419259;11,97494;34,57431;0,09440867;3,73927;0,069079;1
SIRNOZ;22;E4;4;3;6;6;1,424811;12,11602;31,67065;0,08343302;16,09551;0;1
SIXNOF;29;E11;2;4;5;5,39;1,276631;8,71534;25,65952;0,08576715;5,63928;0,032823;0,906928
SIXNOF;29;E11;2;16;5;5,37;1,28541;8,89639;25,84836;0,08519672;5,83626;0,030704;0,905404
SIXNOF;29;E11;2;4;5;5,44;1,301247;9,22927;26,612;0,08528478;6,01793;0,026927;0,900325
SIXNUL;29;E11;2;4;5;5,4;1,288902;8,96909;26,16501;0,08565547;5,86636;0,017689;0,907047
SIXNUL;29;E11;2;16;5;5,36;1,289666;8,98504;26,0308;0,08508776;5,91619;0,031528;0,907697
SIXNUL;29;E11;2;4;5;5,5;1,307457;9,36205;26,87271;0,08513772;6,08025;0,034637;0,901198
SOBKUS;19;E1;1;2;7;5,55;2,092378;38,37153;64,60645;0,09468728;25,06253;0,447858;0,998736
SOBKUS;19;E1;1;2;8;5,92;1,913116;29,33001;54,25156;0,09109417;22,46962;0,110623;0,973158
SOBKUS;19;E1;1;2;8;5,68;2,231842;46,56707;73,57741;0,10094055;38,57083;0,653253;0,998479
SOBKUS;19;E1;1;2;8;6,34;1,848904;26,47476;50,11854;0,09285456;33,27382;0,411718;1
SOBKUS;32;E14;4;2;4;4,17;1,282011;8,82601;27,3865;0,09456535;2,77535;0,064112;1
SOBKUS;32;E14;4;2;4;4,21;1,257968;8,33868;26,52054;0,09494367;2,61759;0,054494;1
SOBKUS;40;E4;4;2;8;6,46;1,292825;9,05123;24,73524;0,081546;19,27286;0,047056;1
SOBKUS;40;E4;4;2;7;6,12;1,316738;9,56284;26,57937;0,08480925;15,27374;0,062466;1
SOBKUS;40;E4;4;2;7;5,81;1,295049;9,09804;25,69222;0,08558038;14,06889;0,06712;0,999043
SOBKUS;40;E4;4;2;7;5,5;1,404999;11,61761;31,49531;0,10692273;14,60843;0,393481;0,998611
SOBKUS;74;E6;6;2;6;4,65;1,212057;7,45862;23,25994;0,08529702;9,69142;0,051482;1
SOBKUS;74;E6;6;2;6;4,39;1,206238;7,35169;23,18214;0,0857725;9,38924;0,035077;1
SOBKUS;74;E6;6;2;6;4,69;1,209407;7,40979;23,23378;0,08544474;9,44077;0,012877;1
SOBKUS;74;E6;6;2;6;4,64;1,197754;7,19766;22,82184;0,08593542;9,07924;0,031846;1
SOBKUS;74;E6;6;2;6;4,51;1,194667;7,14215;22,78753;0,08602674;9,09118;0,015072;1
SOBKUS;74;E6;6;2;6;4,65;1,207844;7,3811;23,06306;0,08499581;9,47901;0,032313;0,998992
SOBKUS;74;E6;6;2;6;4,36;1,188854;7,03841;22,47374;0,08552427;9,02149;0,042811;1
SOBKUS;74;E6;6;2;6;4,45;1,2165;7,54094;23,61774;0,08600908;9,5343;0,040278;1
SOBKUS;74;E6;6;2;6;4,52;1,208702;7,39685;23,24407;0,08559045;9,28775;0,028472;1
